iata,month,statcan_geo,metric,value,source_table
YYC,2024-07-01,"Calgary International, Alberta",total_screened_passengers,760297,23100312
YYC,2024-08-01,"Calgary International, Alberta",total_screened_passengers,731746,23100312
YYC,2024-09-01,"Calgary International, Alberta",total_screened_passengers,637796,23100312
YYC,2024-10-01,"Calgary International, Alberta",total_screened_passengers,608207,23100312
YYC,2024-11-01,"Calgary International, Alberta",total_screened_passengers,525484,23100312
YYC,2024-12-01,"Calgary International, Alberta",total_screened_passengers,558278,23100312
YYC,2025-01-01,"Calgary International, Alberta",total_screened_passengers,509976,23100312
YYC,2025-02-01,"Calgary International, Alberta",total_screened_passengers,500845,23100312
YYC,2025-03-01,"Calgary International, Alberta",total_screened_passengers,544408,23100312
YYC,2025-04-01,"Calgary International, Alberta",total_screened_passengers,527958,23100312
YYC,2025-05-01,"Calgary International, Alberta",total_screened_passengers,577784,23100312
YYC,2025-06-01,"Calgary International, Alberta",total_screened_passengers,667731,23100312
YYC,2025-07-01,"Calgary International, Alberta",total_screened_passengers,793534,23100312
YYC,2025-08-01,"Calgary International, Alberta",total_screened_passengers,779735,23100312
YYC,2025-09-01,"Calgary International, Alberta",total_screened_passengers,657889,23100312
YYC,2025-10-01,"Calgary International, Alberta",total_screened_passengers,639566,23100312
YYC,2025-11-01,"Calgary International, Alberta",total_screened_passengers,521837,23100312
YYC,2025-12-01,"Calgary International, Alberta",total_screened_passengers,554224,23100312
YYZ,2020-01-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,1623784,23100312
YYZ,2020-02-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,1545080,23100312
YYZ,2020-03-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,811942,23100312
YYZ,2020-04-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,37137,23100312
YYZ,2020-05-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,50839,23100312
YYZ,2020-06-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,100758,23100312
YYZ,2020-07-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,175271,23100312
YYZ,2020-08-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,232347,23100312
YYZ,2020-09-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,200416,23100312
YYZ,2020-10-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,193642,23100312
YYZ,2020-11-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,192903,23100312
YYZ,2020-12-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,253155,23100312
YYZ,2021-01-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,192863,23100312
YYZ,2021-02-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,101525,23100312
YYZ,2021-03-01,"Toronto/Lester B Pearson International, Ontario",total_screened_passengers,114577,23100312
